x,z
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-200.0,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-199.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-198.05,22.0
-197.05,22.0
-197.05,22.0
-197.05,22.0
-197.05,22.0
-197.05,22.0
-197.05,22.0
-197.05,22.0
-197.05,22.0
-197.05,22.0
-197.05,22.0
-197.05,22.0
-197.05,22.0
-197.05,22.0
-197.05,22.0
-197.05,22.0
-197.05,22.0
-197.05,22.0
-197.05,22.0
-197.05,22.0
-197.05,22.0
-197.05,22.0
-197.05,22.0
-197.05,22.0
-197.05,22.0
-197.05,22.0
-197.05,22.0
-197.05,22.0
-197.05,22.0
-197.05,22.0
-197.05,22.0
-197.05,22.0
-197.05,22.0
-197.05,22.0
-197.05,22.0
-197.05,22.0
-197.05,22.0
-197.05,22.0
-197.05,22.0
-197.05,22.0
-197.05,22.0
-197.05,22.0
-197.05,22.0
-197.05,22.0
-197.05,22.0
